Store Name,number,streetaddr,strcity,strstate,zipcode,phone-number,Longitude,Latitude
"Walmart Supercenter - Anchorage ,",#2070,3101 A St,Anchorage,AK,99503,(907) 563-5900,-149.881507,61.192165
"Walmart Supercenter - Anchorage (S) ,",#2071,8900 Old Seward Hwy,Anchorage,AK,99515,(907) 344-5300,-149.868161,61.140234
"Walmart Supercenter - Eagle River ,",#2188,18600 Eagle River Rd,Eagle River,AK,99577,(907) 694-9780,-149.535324,61.30978
"Walmart Supercenter - Fairbanks ,",#2722,537 Johansen Expressway,Fairbanks,AK,99701,(907) 451-9900,-147.688971,64.857356
"Walmart Supercenter - Juneau,",#3814,6525 Glacier Hwy,Juneau,AK,99801,(907) 789-5000,-134.515207,58.358498
"Walmart Supercenter - Kenai,",#4474,10096 Kenai Spur,Kenai,AK,99611,(907) 395-0971,-151.226631,60.564167
"Walmart - Ketchikan,",#2710,4230 Don King Rd,Ketchikan,AK,99901,(907) 247-2156,-131.720364,55.376113
"Walmart - Kodiak,",#2711,2911 Mill Bay Rd,Kodiak,AK,99615,(907) 481-1670,-152.36445,57.811389
"Walmart Supercenter - Wasilla,",#2074,1350 S Seward Meridian Pkwy,Wasilla,AK,99654,(907) 376-9780,-149.362998,61.568711
"Walmart Supercenter - Andalusia , Gas/Diesel,",#1091,1991 M. L. King Jr. Expressway,Andalusia,AL,36420,(334) 222-6561,-86.445471,31.320815
"Wm Nbrhd Mkt - Center Point ,",#5100,1916 Center Point Rd,Birmingham,AL,35215,(205) 520-0269,-86.684336,33.637771
"Walmart Supercenter - Birmingham,",#1158,2473 Hackworth Rd,Birmingham,AL,35005,(205) 798-9721,-86.924324,33.580015
"Walmart Supercenter - Chelsea,",#4330,16077 Hwy 280,Chelsea,AL,35043,(205) 678-2222,-86.619256,33.348741
"Wm Nbrhd Mkt - Decatur,",#2488,1203 6th Ave SE,Decatur,AL,35601,(256) 822-6366,-86.980726,34.589341
"Walmart Supercenter - Fairhope,",#4333,10040 County Rd 48,Fairhope,AL,36533,(251) 990-9006,-87.851335,30.523594
"Wm Nbrhd Mkt - Florence,",#4188,1410 Florence Blvd,Florence,AL,35630,(256) 712-6195,-87.657927,34.818559
"Walmart Supercenter - Florence,",#4187,2701 Cloverdale Rd,Florence,AL,35633,(256) 712-6410,-87.686623,34.841215
"Wm Nbrhd Mkt - Helena,",#4189,335 Helena Market Pl,Helena,AL,35080,(205) 624-1640.,-86.851306,33.27955
"Wm Nbrhd Mkt - Hoover,",#3184,3320 Lorna Rd,Hoover,AL,35216,(205) 909-4306,-86.798124,33.393198
"Walmart Supercenter - Hueytown,",#4497,1007 Red Farmer Dr,Hueytown,AL,35023,(205) 744-9997,-86.968613,33.458664
"Walmart Supercenter - Huntsville,",#5703,8580 Hwy 72,Madison,AL,35758,(256) 716-6951,-86.773289,34.749878
"Wm Nbrhd Mkt - Mobile , Gas/Diesel,",#5098,1970 South University Blvd,Mobile,AL,36609,(251) 666-3373,-88.161798,30.649465
"Walmart Supercenter - Mobile,",#0866,5245 Rangeline Service Rd,Mobile,AL,36619,(251) 666-7972,-88.162626,30.594576
"Wm Nbrhd Mkt - Mobile (Hillcrest) ,",#4657,6350 Cottage Hill Rd,Mobile,AL,36609,(251) 661-1717,-88.189511,30.640966
"Wm Nbrhd Mkt - Mobile,",#4648,6575 Airport Blvd,Mobile,AL,36608,(2510 370-9845,-88.194899,30.679921
"Wm Nbrhd Mkt - Orange Beach,",#5653,25241 Perdido Blvd,Orange Beach,AL,36561,(251) 974-1810,-87.593859,30.268534
"Wm Nbrhd Mkt - Vestavia Hills ,",#4580,1300 Montgomery Hwy,Vestavia Hills,AL,35216,(205) 822-9994,-86.791267,33.428893
"Walmart Supercenter - Beebe,",#4168,2003 W Center St,Beebe,AR,72012,(501) 882-1017,-91.906522,35.066205
"Wm Nbrhd Mkt - Bentonville ,",#2741,3510 SE 14th St,Bentonville,AR,72712,(479) 621-6450,-94.170857,36.354931
"Walmart Supercenter - Blytheville,",#0062,3700 E Main St; I-55 Exit 67,Blytheville,AR,72315,(870) 763-0440,-89.87208,35.930064
"Wm Nbrhd Mkt - Conway,",#3168,2550 Prince St,Conway,AR,72034,(501) 205-7262,-92.464225,35.092181
"Wm Nbrhd Mkt - Fayetteville ,",#2745,2690 East Citizens Dr,Fayetteville,AR,72703,(479) 571-6670,-94.123054,36.089114
"Walmart Express - University of Arkansas,",#2997,616 N Garland Ave,Fayetteville,AR,72701,(479) 443-1588,-94.174862,36.072443
"Walmart Express - Gentry,",#3032,905 S Gentry Blvd,Gentry,AR,72734,(479) 736-1365,-94.485234,36.259365
"Walmart Express - Gravette,",#3033,800 1st Ave SE,Gravette,AR,72736,(479) 787-9745,-94.452682,36.414841
"Walmart Supercenter - Little Rock (SW),",#0126,2700 S Shackleford Rd,Little Rock,AR,72205,(501) 223-0604,-92.39756,34.728968
"Wm Nbrhd Mkt - Maumelle ,",#5783,117 Audubon Dr,Maumelle,AR,72113,(501) 851-6673,-92.404937,34.851295
"Walmart Supercenter - North Little Rock , Gas/Diesel,",#4460,12001 Maumelle Blvd,North Little Rock,AR,72113,(501) 851-2798,-92.393695,34.831608
"Walmart Express - Prairie Grove, Gas,",#3034,881 W Buchanan,Prairie Grove,AR,72753,(479) 846-6900,-94.33398,35.971157
"Wm Nbrhd Mkt - Rogers , Gas/Diesel,",#3479,1819 South 8th St.,Rogers,AR,72756,(479) 633-0772,-94.124812,36.313263
"Walmart Clinic Pharmacy - Rogers,",#5822,2708 Rife Dr,Rogers,AR,72758,(479) 636-4101,-94.183167,36.310128
"Wm Nbrhd Mkt - Searcy,",#2431,1330 W Beebe Capps Expwy,Searcy,AR,72143,(501) 203-2010,-91.750864,35.245507
"Wm Nbrhd Mkt - Sherwood ,",#2743,8801 Hwy 107,Sherwood,AR,72120,(501) 833-3127,-92.232685,34.385219
"Walmart Supercenter - Sherwood , Gas/Diesel,",#0007,9053 Hwy 107,Sherwood,AR,72120,(501) 833-0972,-92.235819,34.837889
"Wm Nbrhd Mkt - Springdale ,",#5738,3553 E Robinson Ave,Springdale,AR,72764,(479) 750-4683,-94.09239,36.164267
"Wm Nbrhd Mkt - Springdale ,",#2742,1375 Market Square Dr,Springdale,AR,72762,(479) 750-7853,-94.162598,36.173767
"Walmart Supercenter - Cave Creek,",#5835,34399 N Cave Creek Rd,Cave Creek,AZ,85331,(480) 296-7398,-111.963038,33.796648
"Wm Nbrhd Mkt - Chandler,",#2657,6085 W Chandler Blvd,Chandler,AZ,85226,(480) 477-0212,-111.944652,33.305269
"Walmart Supercenter - El Mirage,",#4336,12900 West Thunderbird,El Mirage,AZ,85335,(623) 583-1321,-112.337496,33.610102
"Walmart Supercenter - Gilbert ,",#3861,5290 S Power Rd,Gilbert,AZ,85295,(480) 988-0012,-111.742072,33.30481
"Wm Nbrhd Mkt - Glendale ,",#3315,4230 West Union Hills Dr,Glendale,AZ,85308,(623) 869-0779,-112.15018,33.6558
"Wm Nbrhd Mkt - Glendale ,",#3844,5137 W Olive Dr,Glendale,AZ,85302,(623) 939-4237,-112.171683,33.568833
"Wm Nbrhd Mkt - Glendale ,",#4233,6550 West Happy Valley Rd,Glendale,AZ,85310,(623) 566-9754,-112.202404,33.712872
"Wm Nbrhd Mkt - Glendale ,",#3845,6645 West Peoria,Glendale,AZ,85301,(623) 773-2947,-112.201434,33.58083
"Wm Nbrhd Mkt - Glendale ,",#3314,7450 West Glendale Ave,Glendale,AZ,85303,(623) 915-2632,-112.218873,33.538806
"Wm Nbrhd Mkt - Goodyear (Indian) ,",#3604,14200 West Indian School Rd,Goodyear,AZ,85338,(623) 935-7007,-112.364171,33.486762
"Walmart Supercenter - Maricopa,",#4430,41650 W Maricopa Casa Grande,Maricopa,AZ,85238,(520) 568-0846,-112.01452,33.038222
"Walmart Supercenter - Mesa ,",#3833,1606 South Signal Butte Rd,Mesa,AZ,85206,(480) 358-1122,-111.600213,33.383775
"Wm Nbrhd Mkt - Mesa (Baseline) ,",#5304,1916 S Lindsay Rd,Mesa,AZ,85204,(480) 892-6085,-111.772122,33.38027
"Walmart Supercenter - Mesa (Country Club) ,",#3799,240 West Baseline Rd,Mesa,AZ,85210,(480) 668-9501,-111.836646,33.379807
"Wm Nbrhd Mkt - Mesa ,",#3846,2725 East Mckellips,Mesa,AZ,85213,(480) 733-1679,-111.772058,33.450018
"Wm Nbrhd Mkt - Mesa (Higley) ,",#5257,5122 East University Dr,Mesa,AZ,85205,(480) 832-9484,-111.720556,33.423455
"Wm Nbrhd Mkt - Mesa (Horne) ,",#5332,730 East Mckellips Rd,Mesa,AZ,85203,(480) 964-2347,-111.814295,33.452079
"Wm Nbrhd Mkt - Mesa ,",#5349,8335 E. Guadalupe Rd,Mesa,AZ,85212,(480) 357-4137,-111.654285,33.363419
"Walmart Supercenter - Oro Valley,",#3379,2150 East Tangerine Rd,Oro Valley,AZ,85737,(520) 544-0016,-110.940892,32.424867
"Wm Nbrhd Mkt - Oro Valley ,",#4264,7951 N Oracle Rd,Oro Valley,AZ,85704,(520) 469-9567,-110.976525,32.350743
"Walmart Supercenter - Parker ,",#4543,100 Riverside Dr,Parker,AZ,85344,(928) 669-2161,-114.276833,34.156184
"Walmart Supercenter - Peoria (Lake Pleasant) ,",#3896,21655 North Lake Pleasant Pkwy,Peoria,AZ,85382,(623) 537-0809,-112.277159,33.679777
"Wm Nbrhd Mkt - Phoenix (24th),",#4293,2435 East Baseline Rd,Phoenix,AZ,85042,(602) 232-2115,-112.029095,33.37662
"Walmart Supercenter - Phoenix ,",#4232,4747 East Cactus Rd,Phoenix,AZ,85032,(602) 404-3712,-111.978784,33.596729
"Walmart Supercenter - Phoenix (Laveen) ,",#3771,6150 South 35th Ave,Phoenix,AZ,85041,(602) 243-8506,-112.135626,33.390424
"Walmart Supercenter - Phoenix ,",#3316,8921 West Thomas Rd,Phoenix,AZ,85037,(623) 936-0240,-112.253836,33.478796
"Walmart Supercenter - Prescott Valley,",#3730,3450 Glassford Hill Rd,Prescott Valley,AZ,86314,(928) 499-3136,-112.340076,34.592304
"Walmart Supercenter - Queen Creek,",#3751,1725 West Hunt Hwy,Queen Creek,AZ,85242,(480) 677-2149,-111.583983,33.177048
"Walmart Supercenter - Queen Creek (N),",#4451,21055 South Rittenhouse Rd,Queen Creek,AZ,85242,(480) 457-1158,-111.630178,33.250541
"Walmart Supercenter - Safford,",#1149,755 S. 20th Ave,Safford,AZ,85546,(928) 428-7990,-109.732722,32.833136
"Walmart Supercenter - San Luis,",#4337,1613 North Main St,San Luis,AZ,85349,(928) 722-7278,-114.785,32.508016
"Walmart supercenter - Surprise,",#5429,14111 N Prasada Gateway Ave,Surprise,AZ,85388,(623) 282-3208,-112.42075,33.611071
"Wm Nbrhd Mkt - Surprise ,",#4218,15431 West Greenway Rd,Surprise,AZ,85374,(623) 584-0189,-112.392387,33.623058
"Walmart Express - Arizona State University,",#4060,671 E Apache Blvd,Tempe,AZ,85281,(480) 967-2237,-111.929201,33.414428
"Walmart Supercenter - Tempe ,",#5768,800 E Southern,Tempe,AZ,85282,(480) 966-0264,-111.928466,33.393357
"Wm Nbrhd Mkt - Tucson,",#3049,2550 S Kolb Rd,Tucson,AZ,85710,(520) 329-6471,-110.841719,32.193078
"Walmart - Tucson,",#5799,2711 S Houghton Rd,Tucson,AZ,85730,(520) 918-0087,-110.770789,32.190771
"Wm Nbrhd Mkt - Tucson (Cardinal) ,",#3377,2823 West Valencia Rd,Tucson,AZ,85746,(520) 908-2556,-111.026149,32.132949
"Walmart Supercenter - Tucson,",#3884,3435 E Broadway Blvd; I-10 Exit 258,Tucson,AZ,85716,(520) 917-1655,-110.918494,32.222538
"Wm Nbrhd Mkt - Tucson (Alvernon) ,",#3357,3925 East Grant Rd,Tucson,AZ,85712,(520) 327-0085,-110.908934,32.2513
"Wm Nbrhd Mkt - Tucson ,",#4603,5500 E 22nd St,Tucson,AZ,85711,(520) 745-0267,-110.874289,32.206479
"Wm Nbrhd Mkt - Tucson,",#3143,8640 E Broadway Blvd,Tucson,AZ,85710,(520) 329-6870,-110.807944,32.220767
"Walmart Supercenter - Tucson,",#5858,9260 S Houghton Rd,Tucson,AZ,85747,(520) 329-6674,-110.771518,32.085043
"Walmart Supercenter - American Canyon ,",#1651,7011 Main St,American Canyon,CA,94503,(707) 557-4393,-122.254149,38.184406
"Wm Nbrhd Mkt - Anaheim,",#3101,121 N Beach Blvd,Anaheim,CA,92801,(714) 822-3179,-117.994102,33.832609
"Walmart Supercenter - Anaheim ,",#5930,88 E Orangethorpe Ave,Anaheim,CA,92801,(714) 447-6751,-117.918879,33.859075
"Walmart Supercenter - Atwater,",#5890,800 Commerce Ave,Atwater,CA,95301,(209) 676-3087,-120.609274,37.340527
"Walmart Supercenter - Bakersfield,",#5134,5075 Gosford Rd,Bakersfield,CA,93313,(661) 282-3099,-119.094421,35.308867
"Walmart Supercenter - Bakersfield,",#1574,6225 Colony St,Bakersfield,CA,93307,(661) 398-7297,-119.029263,35.298027
"Walmart Supercenter - Beaumont ,",#5156,1540 East 2nd St,Beaumont,CA,92223,(951) 845-1529,-116.9521,33.9243
"Wm Nbrhd Mkt - Bell Gardens,",#5688,6820 Eastern Ave,Bell Gardens,CA,90201,(323) 282-2503,-118.163675,33.971059
"Walmart Supercenter - Brawley,",#5335,250 Wildcat Dr,Brawley,CA,92227,(760) 351-0186,-115.546748,32.962429
"Wm Nbrhd Mkt - Camarillo,",#5664,275 W Ventura Blvd,Camarillo,CA,93010,(805) 233-3378,-119.095274,34.220759
"Wm Nbrhd Mkt - Carmichael,",#5981,6005 Madison Ave; I-80 Exit 96,Carmichael,CA,95608,(916) 534-1157,-121.325462,38.661518
"Walmart Supercenter - Citrus Heights,",#3712,7010 Auburn Blvd,Citrus Heights,CA,95621,(916) 729-8077,-121.295299,38.690438
"Walmart Supercenter - Clovis,",#5337,1185 Herndon Ave,Clovis,CA,93611,(559) 321-0067,-119.695912,36.838806
"Wm Nbrhd Mkt - Clovis,",#5633,1830 Shaw Ave,Clovis,CA,93611,(559) 862-2718,-119.680902,36.807426
"Walmart Supercenter - Delano,",#5215,530 Woollomes Ave,Delano,CA,93215,(661) 370-4061,-119.244414,35.74691
"Wm Nbrhd Mkt - El Cajon,",#4169,300 N 2nd St; I-8 Exit 19,El Cajon,CA,92021,(619) 219-5246,-116.936099,32.798004
"Walmart Supercenter - Elk Grove,",#5848,10075 Bruceville Rd,Elk Grove,CA,95757,(916) 585-7344,-121.416431,38.39267
"Wm Nbrhd Mkt - Elk Grove,",#5683,8455 Elk Grove Blvd,Elk Grove,CA,95758,(916) 509-3170,-121.392028,38.409567
"Wm Nbrhd Mkt - Escondido,",#3084,1266 E Valley Pkwy,Escondido,CA,92027,(760) 871-6760,-117.06567,33.131107
"Walmart - Escondido,",#5996,1330 E Grand Ave,Escondido,CA,92027,(760) 871-6622,-117.06265,33.129641
"Walmart Supercenter - Eureka,",#5629,3300 Broadway Bashore Mall,Eureka,CA,95501,(707) 832-5269,-124.190455,40.779647
"Wm Nbrhd Mkt - Garden Grove,",#5639,10912 Katella Ave; I-5 Exit 109,Garden Grove,CA,92840,(714) 620-3822,-117.942214,33.802975
"Wm Nbrhd Mkt - Hawiian Gardens,",#4173,12120 Carson St,Hawiian Gardens,CA,90716,(562) 384-4056,-118.073524,33.830423
"Wm Nbrhd Mkt - Hawthorne,",#5604,14441 Inglewood Ave,Hawthorne,CA,90260,(424) 336-2212,-118.362099,33.900227
"Walmart Supercenter - Highland,",#1914,4210 East Highland Ave,Highland,CA,92346,(909) 425-8846,-117.195187,34.136938
"Wm Nbrhd Mkt - Huntington Beach,",#5601,21132 Beach Blvd,Huntington Beach,CA,92646,(714) 274-4484,-117.987406,33.655354
"Walmart Supercenter - Irvine,",#5687,71 Technology Dr; I-5 Exit 94,Irvine,CA,92618,(949) 623-6587,-117.741385,33.657427
"Walmart Supercenter - Kerman,",#5701,14061 W Whitesbridge Ave,Kerman,CA,93630,(559) 846-1200,-120.045352,36.734595
"Walmart Supercenter - La Habra,",#5641,1000 E Imperial Hwy,La Habra,CA,90631,(714) 869-0530,-117.934836,33.916761
"Wm Nbrhd Mkt - La Mesa,",#5684,8820 Grossmont Blvd,La Mesa,CA,91942,(619) 403-5392,-117.006823,32.773552
"Wm Nbrhd Mkt - La Mirada,",#5661,14865 Telegraph Rd,La Mirada,CA,90638,(562) 567-6488,-118.013693,33.918274
"Wm Nbrhd Mkt - La Palma,",#3099,5420 La Palma Ave,La Palma,CA,90623,(714) 822-3152,-118.038386,33.846188
"Wm Nbrhd Mkt - La Puente,",#3133,1425 N Hacienda Blvd,La Puente,CA,91744,(626) 251-1877,-117.948942,34.046676
"Wm Nbrhd Mkt - Los Angeles,",#3086,701 W Cesar E Chavez Ave,Los Angeles,CA,90012,(213) 337-0172,-118.243835,34.061485
"Walmart Supercenter - Marina ,",#4488,150 Beach Rd,Marina,CA,93933,(831) 883-9138,-121.800565,36.69359
"Wm Nbrhd Mkt - Modesto,",#3046,1421 Coffee Rd,Modesto,CA,95355,(209) 222-5632,-120.976622,37.664054
"Walmart Supercenter - Modesto ,",#5710,3848 Mchenry Ave,Modesto,CA,95350,(209) 342-0949,-120.994174,37.694531
"Walmart Supercenter - Morgan Hill,",#5766,170 Cochrane Plaza,Morgan Hill,CA,95037,(408) 779-8172,-121.655522,37.149811
