storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,type_store,strstate_order,region,statename,zipcode
7,1967-10-01,NA,NA,05,119,3801 CAMP ROBINSON RD.,North Little Rock,AR,Wal-Mart,AR,South,Arkansas,72118
84,1974-05-01,NA,NA,05,095,PINECREST PLAZA SHOPPING CTR,Brinkley,AR,Wal-Mart,AR,South,Arkansas,72021
134,1976-08-01,NA,NA,40,009,3105 WEST 3RD,Elk City,OK,Wal-Mart,OK,South,Oklahoma,73644
142,1976-05-01,NA,NA,48,387,2204 HWY 82 WEST,Clarksville,TX,Wal-Mart,TX,South,Texas,75426
145,1976-10-01,NA,NA,29,163,3310 W GEORGIA STREET,Louisiana,MO,Wal-Mart,MO,Midwest,Missouri,63353
201,1977-07-01,NA,NA,17,163,120 CARLYLE PLAZA DRIVE,Belleville,IL,Wal-Mart,IL,Midwest,Illinois,62221
270,1981-08-04,NA,NA,22,027,906 WEST MAIN STREET,Homer,LA,Wal-Mart,LA,South,Louisiana,71040
278,1981-06-30,1998-03-01,1,22,017,1645 EAST INDUSTRIAL,Shreveport,LA,Supercenter,LA,South,Louisiana,71105
313,1981-04-07,NA,NA,29,099,4550 GRAVOIS ROAD,House Springs,MO,Wal-Mart,MO,Midwest,Missouri,63051
349,1980-11-18,NA,NA,05,041,HIGHWAY 65 SOUTH,Dumas,AR,Wal-Mart,AR,South,Arkansas,71639
361,1981-07-08,NA,NA,17,119,601 BELT LINE ROAD,Collinsville,IL,Wal-Mart,IL,Midwest,Illinois,62234
377,1981-12-01,NA,NA,01,119,US HIGHWAY 11,Livingston,AL,Wal-Mart,AL,South,Alabama,35470
414,1982-06-29,NA,NA,48,485,106 S RED RIVER EXPRESSWAY,Burkburnett,TX,Wal-Mart,TX,South,Texas,76354
415,1982-03-02,NA,NA,22,099,2310 N MAIN,St. Martinville,LA,Wal-Mart,LA,South,Louisiana,70582
490,1983-03-29,NA,NA,48,355,10241 SOUTH PADRE ISLAND DRIVE,Corpus Christi,TX,Wal-Mart,TX,South,Texas,78418
631,1981-07-04,NA,NA,45,077,1023 SOUTH PENDELTON STREET,Easley,SC,Wal-Mart,SC,South,South Carolina,29642
894,1986-08-05,NA,NA,40,143,7777 EAST 42ND PLACE SOUTH,Tulsa,OK,Wal-Mart,OK,South,Oklahoma,74145
927,1986-08-05,2004-07-21,1,48,189,1501 NORTH I-27,Plainview,TX,Supercenter,TX,South,Texas,79072
940,1986-07-15,NA,NA,48,439,1401 SOUTH CHERRY LANE,White Settlement,TX,Wal-Mart,TX,South,Texas,76108
956,1986-08-19,NA,NA,12,009,1001 EAST EAU GALLIE BLVD,Melbourne,FL,Wal-Mart,FL,South,Florida,32937
988,1987-01-13,NA,NA,12,101,21703 VILLAGE LAKES SHP/CTR,Land 'O' Lakes,FL,Wal-Mart,FL,South,Florida,34639
1091,1987-10-01,NA,NA,01,039,540 WEST BYPASS,Andalusia,AL,Wal-Mart,AL,South,Alabama,36420
1094,1987-10-01,NA,NA,29,095,6709 BLUE RIDGE BLVD.,Raytown,MO,Wal-Mart,MO,Midwest,Missouri,64133
1105,1987-12-31,2004-03-17,1,05,119,4450 EAST MCCAIN BLVD,Sherwood,AR,Supercenter,AR,South,Arkansas,72117
1106,1987-06-30,NA,NA,22,029,2204 NORTH 4TH STREET,Ferriday,LA,Wal-Mart,LA,South,Louisiana,71334
1149,1988-05-03,NA,NA,04,009,2281 WEST 190 NO HWY 70,Thatcher,AZ,Wal-Mart,AZ,West,Arizona,85552
1151,1987-11-17,NA,NA,20,209,6565 STATE AVENUE,Kansas City,KS,Wal-Mart,KS,Midwest,Kansas,66102
1158,1988-03-01,2004-04-14,1,01,073,2473 HACKWORTH ROAD,Adamsville,AL,Supercenter,AL,South,Alabama,35214
1177,1988-10-03,NA,NA,29,189,13901 MANCHESTER RD,St. Louis,MO,Wal-Mart,MO,Midwest,Missouri,63011
1188,1988-08-16,NA,NA,29,189,10835 ST CHARLES ROCK ROAD,St. Ann,MO,Wal-Mart,MO,Midwest,Missouri,63074
1203,1988-06-02,NA,NA,12,057,3846 STATE ROAD 674,Ruskin,FL,Wal-Mart,FL,South,Florida,33573
1256,1989-04-03,NA,NA,17,197,305 SOUTH LARKIN,Joliet,IL,Wal-Mart,IL,Midwest,Illinois,60436
1265,1989-06-29,NA,NA,29,189,10741 WEST FLORISSANT,Ferguson,MO,Wal-Mart,MO,Midwest,Missouri,63135
1307,1989-05-02,NA,NA,17,091,1260 KINZIE AVENUE,Bradley,IL,Wal-Mart,IL,Midwest,Illinois,60915
1360,1990-01-31,NA,NA,54,019,1556 EAST MAIN,Oak Hill,WV,Wal-Mart,WV,South,West Virginia,25901
1372,1990-01-31,NA,NA,37,183,1527 GARNER STATION BLVD.,Raleigh,NC,Wal-Mart,NC,South,North Carolina,27603
1377,1989-12-30,NA,NA,17,111,2019 RICHMOND ROAD,McHenry,IL,Wal-Mart,IL,Midwest,Illinois,60050
1411,1990-01-31,2006-01-27,1,04,019,18680 SO. NOGALES HWY,Green Valley,AZ,Supercenter,AZ,West,Arizona,85614
1439,1990-05-30,2001-06-20,1,49,053,625 W TELEGRAPH ST.,St. George,UT,Supercenter,UT,West,Utah,84780
1494,1990-10-01,NA,NA,48,355,4833 SOUTH PADRE ISLAND DRIVE,Corpus Christi,TX,Wal-Mart,TX,South,Texas,78411
1504,1990-04-02,NA,NA,39,113,8480 SPRINGBORO PIKE,Dayton,OH,Wal-Mart,OH,Midwest,Ohio,45342
