storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,type_store,strstate_order,region,statename,zipcode,Store Name,number,streetaddr1,strcity1,strstate1,zipcode1,phone-number,Longitude,Latitude
1,1962-07-01,1997-03-01,1,05,007,2110 WEST WALNUT,Rogers,AR,Supercenter,AR,South,Arkansas,72756,"Walmart Supercenter - Rogers , Gas,",#0001,2110 West Walnut,Rogers,AR,72756,(479) 636-3222,-94.148724,36.332307
2,1964-08-01,1996-03-01,1,05,009,1417 HWY 62/65 N,Harrison,AR,Supercenter,AR,South,Arkansas,72601,"Walmart Supercenter - Harrison, Gas,",#0002,161 N Walmart Dr,Harrison,AR,72601,(870) 365-8400,-93.138559,36.266594
3,1988-04-12,2000-03-01,1,13,011,30983 HWY 441 SOUTH,Commerce,GA,Supercenter,GA,South,Georgia,30529,"Walmart Supercenter - Commerce , Gas,",#0003,30983 Hwy 441 South,Commerce,GA,30529,(812) 346-5100,-83.457396,34.247368
4,1965-08-01,2002-03-01,1,05,007,2901 HWY 412 EAST,Siloam Springs,AR,Supercenter,AR,South,Arkansas,72761,"Walmart Supercenter - Siloam Springs , Gas/Diesel,",#0004,2901 Hwy 412 East,Siloam Springs,AR,72761,(479) 524-5101,-94.512542,36.182377
5,1972-05-01,1994-03-01,1,05,045,1155 HWY 65 NORTH,Conway,AR,Supercenter,AR,South,Arkansas,72032,"Walmart Supercenter - Conway , Gas/Diesel,",#0005,1155 Hwy 65 North,Conway,AR,72032,(501) 329-0023,-92.438182,35.10855
8,1967-10-01,1993-03-01,1,05,029,1621 NORTH BUSINESS 9,Morrilton,AR,Supercenter,AR,South,Arkansas,72110,"Walmart Supercenter - Morrilton, Gas,",#0008,1621 North Business 9,Morrilton,AR,72110,(501) 354-0290,-92.725648,35.168747
9,1968-03-01,2000-03-01,1,29,143,1303 SOUTH MAIN,Sikeston,MO,Supercenter,MO,Midwest,Missouri,63801,"Walmart Supercenter - Sikeston,",#0009,1303 Hennings,Sikeston,MO,63801,(573) 472-3020,-89.58504,36.857527
10,1968-07-01,1998-03-01,1,40,021,2020 SOUTH MUSKOGEE,Tahlequah,OK,Supercenter,OK,South,Oklahoma,74464,"Walmart Supercenter - Tahlequah,",#0010,2020 South Muskogee,Tahlequah,OK,74464,(918) 456-8804,-94.978595,35.888854
11,1968-03-01,2002-02-20,1,05,005,65 WAL-MART DRIVE,Mountain Home,AR,Supercenter,AR,South,Arkansas,72653,"Walmart Supercenter - Mountain Home, Gas/Diesel,",#0011,65 Walmart Dr,Mountain Home,AR,72653,(870) 492-9299,-92.341154,36.357581
12,1968-07-01,1994-03-01,1,40,131,1500 LYNN RIGGS BLVD,Claremore,OK,Supercenter,OK,South,Oklahoma,74017,"Walmart Supercenter - Claremore  , Gas/Diesel,",#0012,1500 Lynn Riggs Blvd,Claremore,OK,74017,(918) 341-2765,-95.628502,36.29437
13,1968-11-01,1996-03-01,1,29,097,2705 GRAND AVE,Carthage,MO,Supercenter,MO,Midwest,Missouri,64836,"Walmart Supercenter - Carthage, Gas,",#0013,2705 Grand Ave,Carthage,MO,64836,(417) 358-3000,-94.31227,37.14201
14,1969-04-01,1999-03-01,1,29,105,1800 S JEFFERSON,Lebanon,MO,Supercenter,MO,Midwest,Missouri,65536,"Walmart Supercenter - Lebanon,",#0014,1800 S Jefferson,Lebanon,MO,65536,(417) 588-2268,-92.650791,37.662801
15,1969-05-01,1995-03-01,1,29,091,1310 PREACHER RD/HGWY 160,West Plains,MO,Supercenter,MO,Midwest,Missouri,65775,"Walmart Supercenter - West Plains, Gas,",#0015,1310 Preacher Rd/hgwy 160,West Plains,MO,65775,(417) 257-2800,-91.871802,36.714621
16,1969-04-01,2000-03-01,1,05,033,2214 FAYETTEVILLE RD,Van Buren,AR,Supercenter,AR,South,Arkansas,72956,"Walmart Supercenter - Van Buren, Gas,",#0016,2214 Fayetteville Rd,Van Buren,AR,72956,(479) 474-2314,-94.354547,35.469159
17,1969-05-01,1993-03-01,1,29,145,3200 LUSK DRIVE,Neosho,MO,Supercenter,MO,Midwest,Missouri,64850,"Walmart Supercenter - Neosho, Gas,",#0017,3200 Lusk Dr,Neosho,MO,64850,(417) 451-5544,-94.395833,36.839179
18,1969-11-01,NA,NA,05,067,2500 MALCOLM ST/HWY 67 NORTH,Newport,AR,Wal-Mart,AR,South,Arkansas,72112,"Walmart Supercenter - Newport,",#0018,1211 Arkansas 367,Newport,AR,72112,(870) 523-2500,-91.253489,35.617243
